Identification Number,Email Address,Survey 1 Total,Survey 2 Total
1453,suresh@aol.com,12,9
4114,william@att.net,4,9
2442,sagal@aol.com,18,11
7336,amichalo@verizon.net,10,15
2674,mrobshaw@optonline.net,0,6
5161,jrifkin@att.net,10,3
8715,fmerges@gmail.com,9,2
6652,flakeg@icloud.com,10,2
2513,dexter@hotmail.com,16,6
3550,zeitlin@yahoo.ca,9,0
9472,killmenow@outlook.com,2,2
9976,stomv@sbcglobal.net,11,6
9102,tubesteak@comcast.net,2,7
5146,studyabr@live.com,12,13
3876,mfburgo@outlook.com,7,10
7509,jimmichie@icloud.com,17,6
2891,henkp@outlook.com,16,13
9473,bdthomas@aol.com,12,3
6655,gavinls@outlook.com,5,2
6810,improv@me.com,0,14
4160,dhrakar@hotmail.com,1,0
1958,guialbu@sbcglobal.net,14,8
9010,steve@mac.com,12,11
8959,mcast@optonline.net,6,6
6955,itstatus@hotmail.com,14,6
4609,samavati@hotmail.com,9,11
6944,kohlis@verizon.net,16,6
5470,durist@mac.com,2,5
1013,jmorris@live.com,10,14
5097,danzigism@hotmail.com,19,0
6777,ganter@yahoo.com,5,10
7683,durist@yahoo.ca,17,13
7910,yenya@icloud.com,9,15
4369,dialworld@yahoo.ca,12,4
5435,miltchev@msn.com,12,10
4301,falcao@mac.com,19,5
1948,syncnine@yahoo.ca,19,6
9792,dgriffith@sbcglobal.net,10,3
4479,blixem@hotmail.com,7,6
4420,kramulous@outlook.com,18,15
4296,luebke@msn.com,10,2
9395,jimmichie@me.com,12,2
1148,kidehen@sbcglobal.net,15,12
4182,josem@icloud.com,10,13
9884,lamprecht@outlook.com,5,9
5433,tjensen@sbcglobal.net,19,1
3824,fluffy@me.com,11,2
9937,snunez@me.com,0,15
9689,zeller@live.com,8,2
6538,mcnihil@aol.com,17,1
7623,larry@optonline.net,7,6
8984,muzzy@icloud.com,10,1
3711,konit@yahoo.com,5,4
2338,offthelip@hotmail.com,20,15
5963,atmarks@comcast.net,1,13
5260,fraser@gmail.com,13,9
1120,grothoff@aol.com,19,1
7397,hikoza@verizon.net,18,13
2767,wilsonpm@msn.com,4,6
9365,arnold@optonline.net,11,6
5446,hoangle@sbcglobal.net,18,10
1321,aibrahim@aol.com,4,11
8471,dsugal@yahoo.com,20,9
3418,jgmyers@icloud.com,1,0
6474,mwitte@att.net,5,7
6308,amcuri@verizon.net,4,5
2771,osaru@verizon.net,15,13
4817,elflord@yahoo.com,1,13
6008,skythe@hotmail.com,17,9
9266,chunzi@optonline.net,6,9
4612,jhardin@sbcglobal.net,20,2
2011,seemant@icloud.com,3,6
9649,nimaclea@att.net,10,14
7994,pgolle@msn.com,8,15
7984,payned@live.com,10,1
3195,fluffy@gmail.com,19,5
3429,laird@gmail.com,8,3
3072,snunez@yahoo.ca,9,15
4614,rohitm@aol.com,5,15
1480,hwestiii@mac.com,14,0
2327,epeeist@hotmail.com,18,12
3488,vertigo@outlook.com,18,15
1789,fluffy@live.com,14,7
1258,dcoppit@yahoo.ca,5,4
9450,wbarker@sbcglobal.net,13,1
1981,jcholewa@yahoo.ca,18,8
3982,cameron@aol.com,14,5
3585,evilopie@me.com,12,7
8018,greear@live.com,8,11
8731,flakeg@me.com,17,0
5930,uraeus@sbcglobal.net,16,13
4501,solomon@aol.com,13,8
4725,rjones@yahoo.ca,9,15
4649,grossman@outlook.com,6,9
8890,mwandel@yahoo.ca,14,2
6548,formis@comcast.net,12,9
2017,cvrcek@msn.com,15,3
2911,inico@comcast.net,1,10
6232,evilopie@verizon.net,10,14
2797,jramio@optonline.net,6,7
5944,tristan@mac.com,14,12
9978,shawnce@outlook.com,6,10
8425,treit@optonline.net,6,13
9108,mlewan@att.net,20,3
5994,sarahs@gmail.com,1,7
6779,seemant@mac.com,4,15
7917,ahuillet@optonline.net,9,13
4714,hllam@msn.com,4,7
4124,rhavyn@icloud.com,11,12
3695,dialworld@me.com,8,13
3625,techie@live.com,16,15
3207,boser@yahoo.com,12,14
8322,tezbo@outlook.com,17,11
1708,monkeydo@me.com,2,9
8965,qrczak@hotmail.com,11,14
9728,chrisk@att.net,11,7
5608,crandall@optonline.net,12,15
2543,kiddailey@live.com.,4,15
5004,jyoliver@hotmail.com,0,8
6600,chaffar@comcast.net,14,2
5488,sjmuir@verizon.net,16,9
7494,cliffordj@yahoo.com,12,11
6299,kourai@mac.com,8,5
5068,jesse@yahoo.ca,8,7
4855,pkplex@aol.com,9,12
5921,dleconte@hotmail.com,0,13
4263,gemmell@mac.com,20,13
4781,mnemonic@mac.com,7,13
7961,kdawson@sbcglobal.net,1,2
7286,kingma@me.com,16,8
1725,anicolao@yahoo.com,3,8
8780,treeves@me.com,0,7
7948,alias@me.com,5,2
9413,bowmanbs@hotmail.com,13,0
4153,greear@outlook.com,2,2
3735,formis@me.com,12,6
3388,majordick@msn.com,19,14
5659,kjetilk@aol.com,17,1
1966,danzigism@yahoo.com,17,5
4908,tristan@mac.com,6,15
4326,bsikdar@icloud.com,20,8
5378,oechslin@yahoo.ca,15,10
5703,monopole@verizon.net,19,7
9131,shrapnull@aol.com,16,0
2284,gfxguy@hotmail.com,1,14
8068,ahuillet@outlook.com,5,14
2520,smallpaul@outlook.com,5,5
3002,phish@mac.com,14,11
1527,bmcmahon@me.com,10,14
9945,rsmartin@yahoo.com,13,6
3240,geoffr@optonline.net,19,5
6867,jsnover@yahoo.com,18,0
2870,smeier@verizon.net,9,15
4571,ryanshaw@sbcglobal.net,13,13
4225,bester@sbcglobal.net,14,1
4144,dmath@mac.com,2,1
1673,tjensen@verizon.net,1,8
7605,lushe@mac.com,18,15
3996,frikazoyd@aol.com,17,3
2274,mxiao@hotmail.com,7,5
6165,lbecchi@sbcglobal.net,3,5
8410,danzigism@verizon.net,17,3
5827,vmalik@yahoo.com,1,11
9754,dwendlan@aol.com,19,4
6842,whimsy@verizon.net,0,6
2889,ryanshaw@aol.com,2,15
9370,sagal@gmail.com,6,5
4476,jlbaumga@mac.com,6,5
4857,jespley@yahoo.com,3,6
8487,errxn@optonline.net,15,13
9487,bhtower@hotmail.com,17,8
8759,sisyphus@hotmail.com,16,9
4662,cisugrad@verizon.net,2,9
6363,ilikered@att.net,3,13
1361,dwsauder@optonline.net,19,8
6704,josephw@gmail.com,3,6
4787,skoch@live.com,15,9
5806,bjornk@mac.com,18,7
5595,kempsonc@gmail.com,12,10
5552,bdbrown@outlook.com,19,7
8863,konst@optonline.net,3,3
4081,maikelnai@gmail.com,3,3
6491,jtorkbob@hotmail.com,15,2
5772,iamcal@msn.com,0,5
8698,isotopian@sbcglobal.net,12,7
7351,hllam@sbcglobal.net,4,1
5658,drezet@att.net,0,15
4077,doche@att.net,8,2
8619,andale@yahoo.ca,6,8
1699,crimsane@gmail.com,3,9
7012,oster@verizon.net,4,4
7312,panolex@hotmail.com,20,8
9210,gilmoure@att.net,19,7
7760,world@optonline.net,6,5
8574,djpig@mac.com,11,8
1305,chlim@me.com,2,11
6144,wkrebs@gmail.com,10,1
8970,claypool@outlook.com,17,5
3165,wsnyder@verizon.net,3,7
4794,maikelnai@msn.com,7,5
5808,treeves@hotmail.com,14,0
7233,sethbrown@gmail.com,16,5
9540,treeves@msn.com,0,5
9007,daveed@me.com,15,15
3601,ebassi@comcast.net,7,13
4849,jrifkin@mac.com,9,11
8273,mwilson@live.com,14,1
6875,shaffei@aol.com,3,2
6925,firstpr@optonline.net,15,6
4669,frosal@msn.com,3,5
3570,dbanarse@yahoo.com,13,5
8726,jdray@hotmail.com,9,14
6253,parrt@me.com,6,13
8791,matloff@sbcglobal.net,1,5
1598,stefano@me.com,3,7
7945,thomasj@yahoo.com,3,0
1915,harpes@live.com,7,12
9115,xnormal@me.com,7,7
1115,pereinar@me.com,10,13
6377,scottzed@verizon.net,14,14
5336,chrwin@aol.com,2,10
7777,unreal@yahoo.com,7,6
4133,harpes@me.com,14,7
4072,mjewell@icloud.com,10,13
5561,raides@comcast.net,15,6
3875,offthelip@yahoo.com,1,9
4406,sagal@sbcglobal.net,6,8
3191,sonnen@msn.com,8,9
8624,jemarch@icloud.com,15,10
8616,rwelty@att.net,13,11
2050,linuxhack@sbcglobal.net,11,15
5998,kjohnson@sbcglobal.net,16,1
9231,thrymm@me.com,6,13
6095,syncnine@sbcglobal.net,17,14
5538,grdschl@yahoo.com,2,13
1150,intlprog@aol.com,12,9
7053,tellis@yahoo.ca,7,5
3533,galbra@mac.com,4,3
3525,andrei@yahoo.ca,13,10
2510,aschmitz@gmail.com,16,4
1565,kingjoshi@comcast.net,2,5
8856,quinn@att.net,19,1
9042,bcevc@comcast.net,20,11
2128,tjensen@me.com,11,0
6767,phizntrg@mac.com,9,2
9703,brbarret@comcast.net,13,6
6072,noodles@aol.com,5,8
2892,arachne@gmail.com,0,15
6647,rogerspl@gmail.com,18,12
2162,bbirth@icloud.com,8,10
8493,sriha@aol.com,16,2
5830,guialbu@me.com,12,10
2952,dgatwood@att.net,17,15
3566,jugalator@icloud.com,10,11
9623,techie@yahoo.ca,20,0
2241,melnik@hotmail.com,15,7
5144,dialworld@outlook.com,20,2
6537,cliffordj@icloud.com,14,9
9639,luvirini@optonline.net,12,11
3131,kildjean@att.net,7,12
6923,amimojo@aol.com,17,5
1268,jguyer@mac.com,4,12
1811,josem@verizon.net,9,3
7208,boser@att.net,2,11
4303,sagal@comcast.net,4,15
9571,rjones@icloud.com,20,12
3852,moinefou@comcast.net,4,13
6331,martyloo@gmail.com,11,3
4874,quantaman@gmail.com,8,11
8583,adamk@mac.com,14,14
6102,paina@yahoo.ca,10,3
2575,neuffer@outlook.com,14,13
6849,nichoj@yahoo.ca,15,8
2847,bjornk@me.com,17,6
1926,singer@me.com,11,7
2973,wilsonpm@sbcglobal.net,9,0
7427,kourai@hotmail.com,17,7
5718,cfhsoft@live.com,11,11
3950,helger@me.com,14,0
5661,steve@outlook.com,18,2
1240,meder@icloud.com,12,14
5627,gbacon@comcast.net,18,5
1038,eminence@outlook.com,8,4
6245,pgolle@msn.com,0,8
5012,oneiros@msn.com,5,0
8110,cosimo@verizon.net,13,8
8633,hachi@verizon.net,15,9
3033,william@icloud.com,16,9
6673,solomon@me.com,19,10
7339,manuals@outlook.com,9,8
2279,stomv@hotmail.com,8,7
9412,sethbrown@gmail.com,0,15
1878,falcao@live.com,20,4
9022,suresh@live.com,17,9
5879,rfoley@optonline.net,1,6
5036,smartfart@gmail.com,1,15
8438,multiplx@outlook.com,14,5
2112,mrdvt@outlook.com,14,5
3890,jesse@me.com,15,14
9975,shang@hotmail.com,19,3
7163,specprog@icloud.com,18,8
3211,rtanter@aol.com,10,2
8097,stecoop@att.net,19,4
4723,fmtbebuck@sbcglobal.net,20,1
5708,twoflower@optonline.net,3,9
2562,cameron@live.com,10,7
4821,henkp@comcast.net,6,12
3555,formis@aol.com,19,12
2099,mbswan@me.com,19,1
9817,parents@me.com,1,5
1129,mschwartz@mac.com,5,11
1410,mstrout@sbcglobal.net,6,11
5965,fluffy@att.net,15,1
9155,jlbaumga@optonline.net,3,15
3012,bhima@optonline.net,3,8
9882,jimmichie@aol.com,6,11
2905,jrifkin@aol.com,10,7
3633,donev@msn.com,20,1
3606,sjmuir@gmail.com,6,5
7016,barnett@yahoo.ca,11,8
6515,kudra@optonline.net,17,7
5750,eabrown@me.com,17,3
4324,wiseb@hotmail.com,11,12
3969,vlefevre@yahoo.ca,6,7
7324,leviathan@msn.com,19,11
4357,jfinke@verizon.net,15,3
8035,speeves@gmail.com,9,14
8952,symbolic@icloud.com,15,5
7567,jigsaw@sbcglobal.net,18,7
6283,frosal@optonline.net,0,2
2117,boftx@yahoo.com,4,3
8056,rgarcia@hotmail.com,20,15
9654,chance@comcast.net,15,6
3079,cfhsoft@verizon.net,16,12
3640,kawasaki@msn.com,1,14
1693,raides@hotmail.com,19,7
5115,oevans@live.com,3,1
6134,sopwith@aol.com,3,1
7915,mddallara@mac.com,11,0
7262,amichalo@gmail.com,5,7
2479,msherr@yahoo.com,6,8
8256,bebing@aol.com,20,5
5519,bhtower@me.com,12,15
2541,gtaylor@icloud.com,18,8
8945,timtroyr@msn.com,16,13
3599,dleconte@live.com,16,5
8859,carcus@me.com,14,14
1368,bryam@att.net,16,12
9805,sumdumass@comcast.net,12,8
5819,uncle@live.com,18,1
9640,frode@comcast.net,0,12
7861,muadip@comcast.net,20,8
4414,pthomsen@att.net,6,12
1033,ingolfke@att.net,3,8
6619,willg@me.com,3,14
4196,rupak@outlook.com,3,5
1970,dmbkiwi@yahoo.ca,17,2
7783,ismail@icloud.com,19,3
6019,bonmots@att.net,15,1
3245,tellis@outlook.com,6,7
5934,eurohack@sbcglobal.net,16,11
5609,gregh@live.com,9,4
6392,marcs@aol.com,14,10
3595,noodles@gmail.com,17,6
2316,pjacklam@gmail.com,15,12
5674,harpes@yahoo.com,7,6
9581,bdbrown@yahoo.ca,1,0
3063,uncled@live.com,20,0
9987,dsowsy@me.com,8,0
7612,notaprguy@me.com,12,15
6216,zyghom@comcast.net,6,8
3376,psharpe@hotmail.com,6,8
3238,sscorpio@hotmail.com,9,7
8334,jaarnial@outlook.com,19,11
3687,podmaster@icloud.com,1,3
7384,mrsam@outlook.com,11,11
8473,jgwang@optonline.net,2,14
6240,helger@optonline.net,18,2
2238,kevinm@gmail.com,16,10
6582,yenya@yahoo.com,4,11
8451,dartlife@mac.com,7,6
5679,netsfr@comcast.net,14,0
2363,thaljef@aol.com,15,1
9599,monopole@me.com,0,8
4890,larry@att.net,16,3
1751,hling@msn.com,16,8
1743,jemarch@outlook.com,0,8
8696,dhwon@verizon.net,6,1
9836,phyruxus@yahoo.ca,0,1
8486,bjoern@aol.com,10,10
8422,dwsauder@optonline.net,2,3
5846,stefano@yahoo.ca,18,3
2800,bcevcmsn.com,8,10
3546,jbryan@msn.com,10,7
8691,mailarc@att.net,5,5
3713,paulv@optonline.net,4,8
7309,singer@live.com,10,8
7471,webteam@att.net,9,4
4922,giafly@sbcglobal.net,16,3
3948,mccurley@att.net,10,6
1599,zeller@gmail.com,4,13
2493,seano@optonline.net,7,12
8186,dcoppit@yahoo.ca,8,8
5029,xnormal@outlook.com,17,4
4400,gospodin@yahoo.com,12,14
6286,smeier@yahoo.ca,8,10
3366,flavell@yahoo.com,4,3
3881,sscorpio@mac.com,3,14
3674,petersko@hotmail.com,9,15
6803,raines@verizon.net,6,15
9498,onestab@outlook.com,3,2
1105,sagal@live.com,5,6
6108,marnanel@verizon.net,4,11
6024,mwitte@att.net,17,8
5311,jigsaw@outlook.com,12,10
9828,whimsy@hotmail.com,5,12
7606,arebenti@yahoo.ca,0,15
4390,dhwon@me.com,0,12
3603,mallanmba@comcast.net,13,8
4264,noodles@me.com,17,7
6426,daveewart@att.net,14,13
6535,hedwig@att.net,8,6
4711,anicolao@outlook.com,7,5
2985,trieuvan@yahoo.com,14,4
7258,harpes@yahoo.ca,15,1
3129,citadel@mac.com,6,5
2289,aglassis@yahoo.ca,0,6
7663,kayvonf@me.com,7,12
9713,choset@yahoo.ca,13,14
7441,ahmad@yahoo.com,7,12
2160,ianbuck@verizon.net,15,8
7127,simone@yahoo.com,2,11
2532,telbij@outlook.com,20,8
5824,dogdude@live.com,14,5
5810,stefano@live.com,15,4
8892,mchugh@att.net,10,5
8262,fluffy@msn.com,18,5
6429,keutzer@verizon.net,7,10
9416,ivoibs@att.net,10,13
3838,choset@gmail.com,18,3
1707,fmerges@me.com,16,12
9329,speeves@gmail.com,1,5
3313,citadel@icloud.com,15,9
7698,cparis@comcast.net,6,6
9112,drolsky@yahoo.com,11,2
2733,jhardin@live.com,6,2
1020,russotto@hotmail.com,1,15
5849,bdthomas@yahoo.ca,14,7
5780,floxy@live.com,4,0
8747,william@verizon.net,17,7
2924,ryanshaw@comcast.net,9,8
2427,pgolle@me.com,19,3
9706,oster@verizon.net,3,9
2961,lbecchi@verizon.net,13,9
1468,mxiao@outlook.com,6,5
4018,dpitts@live.com,11,10
5901,manuals@gmail.com,19,11
4279,howler@att.net,8,11
2375,skaufman@me.com,13,2
6053,afifi@gmail.com,5,9
5745,gfody@sbcglobal.net,15,6
8007,weidai@me.com,0,2
1760,peterhoeg@optonline.net,4,3
4778,wkrebs@optonline.net,7,3
4993,nelson@mac.com,8,2
8831,ajlitt@verizon.net,4,2
6378,hmbrand@mac.com,6,2
8004,jsbach@aol.com,20,10
8331,psichel@msn.com,6,14
1892,forsberg@msn.com,4,11
9274,floxy@sbcglobal.net,19,2
9990,zwood@hotmail.com,6,8
3216,tarreau@live.com,17,3
4628,dunstan@aol.com,16,1
2604,jsnover@me.com,8,9
7231,wmszeliga@comcast.net,14,10
5221,muzzy@sbcglobal.net,13,15
1010,gmcgath@hotmail.com,19,2
1450,crypt@hotmail.com,15,1
9470,openldap@verizon.net,16,11
8683,dmath@mac.com,16,4
3623,alias@mac.com,13,10
5162,tjensen@icloud.com,20,2
8552,ghost@gmail.com,15,0
2393,raides@hotmail.com,20,5
8130,cgarcia@outlook.com,9,10
5873,avalon@me.com,8,4
7018,jadavis@sbcglobal.net,12,11
3693,syncnine@mac.com,18,7
9746,kempsonc@live.com,6,7
4830,zeller@yahoo.ca,6,12
4120,rfoley@optonline.net,9,7
9404,nichoj@yahoo.ca,19,12
6179,jgmyers@aol.com,1,11
8178,jfmulder@msn.com,7,15
5438,stecoop@me.com,2,9
3015,ehood@aol.com,14,11
7316,cosimo@yahoo.com,19,3
6090,harpes@icloud.com,18,7
5240,lishoy@hotmail.com,8,14
7003,mpiotr@yahoo.com,0,1
1537,frederic@msn.com,17,1
5384,pajas@live.com,7,14
5171,singh@hotmail.com,5,15
2133,joelw@optonline.net,4,10
7633,erynf@msn.com,11,11
4101,mrobshaw@att.net,16,2
1675,multiplx@icloud.com,6,13
3372,geeber@aol.com,9,11
4248,animats@yahoo.com,5,7
7867,retoh@comcast.net,15,9
6855,giafly@sbcglobal.net,17,12
1389,skippy@outlook.com,15,6
9544,majordick@sbcglobal.net,20,10
1018,teverett@gmail.com,10,15
1636,breegster@optonline.net,1,5
7953,mhanoh@icloud.com,15,10
9132,milton@verizon.net,11,9
4450,gbacon@msn.com,12,14
8985,sartak@verizon.net,18,12
5947,kimvette@aol.com,16,12
9006,wildfire@aol.com,0,14
3409,webinc@comcast.net,11,5
7334,dburrows@verizon.net,20,8
3956,oevans@yahoo.ca,2,9
6200,jguyer@live.com,0,11
4446,singh@gmail.com,17,11
6059,murdocj@yahoo.com,10,6
3967,richard@gmail.com,19,12
6575,liedra@verizon.net,19,14
6199,bmcmahon@icloud.com,20,8
3257,dwendlan@mac.com,13,3
5995,drjlaw@yahoo.ca,0,13
6697,dwsauder@verizon.net,0,5
2676,scotfl@att.net,18,5
6442,uraeus@live.com,11,14
9928,gavollink@gmail.com,1,1
5142,boomzilla@yahoo.ca,10,3
9604,gavinls@hotmail.com,4,13
5329,kronvold@comcast.net,5,10
6751,tristan@yahoo.com,4,3
9183,roesch@icloud.com,15,10
7071,tmaek@yahoo.ca,20,2
5120,andrewik@comcast.net,11,0
2366,aracne@att.net,16,0
1965,hachi@yahoo.com,12,2
6066,reeds@hotmail.com,1,12
8023,bruck@yahoo.com,4,5
9549,rcwil@sbcglobal.net,12,3
5193,jonadab@mac.com,6,14
5911,lipeng@verizon.net,2,14
1387,jespley@icloud.com,7,15
1112,debest@verizon.net,2,5
5155,lushe@yahoo.com,5,1
9223,osaru@icloud.com,11,12
9803,dcoppit@hotmail.com,4,15
1319,yangyan@sbcglobal.net,3,4
9338,arachne@yahoo.ca,19,7
2766,danzigism@aol.com,17,7
8764,parasite@icloud.com,10,15
6641,jshearer@live.com,14,9
8853,cliffordj@verizon.net,0,4
8551,grinder@yahoo.com,17,5
9718,jonas@yahoo.ca,15,14
9679,skythe@aol.com,11,10
2386,kewley@verizon.net,16,12
8174,gregh@mac.com,20,5
9459,khris@comcast.net,15,7
5576,jbryan@att.net,3,1
3405,qmacro@live.com,1,12
6709,bigmauler@yahoo.com,7,8
6952,ijackson@gmail.com,18,5
4007,chrwin@att.net,10,6
1371,jespley@msn.com,3,14
5196,roamer@me.com,19,6
6406,fallorn@hotmail.com,19,12
6172,credmond@comcast.net,9,0
1530,cyrus@icloud.com,11,6
3083,pajas@comcast.net,7,8
5056,osrin@yahoo.com,7,9
4767,syncnine@live.com,3,7
4520,research@gmail.com,19,1
6718,cisugrad@me.com,12,6
8907,pakaste@live.com,19,8
9129,kronvold@optonline.net,13,15
7322,mavilar@aol.com,16,12
5075,gtewari@msn.com,16,2
8442,qrczak@yahoo.com,13,12
3423,heckerman@att.net,11,13
7216,eidac@comcast.net,20,14
4689,zwood@gmail.com,18,0
7490,satishr@yahoo.ca,6,13
4728,jwarren@me.com,19,11
3017,emcleod@yahoo.ca,13,7
3683,reeds@icloud.com,16,8
1494,jmmuller@aol.com,13,1
2772,dleconte@gmail.com,9,3
9025,tbusch@att.net,17,7
3299,ducasse@yahoo.ca,11,0
2582,satishr@msn.com,17,5
6530,kaiser@yahoo.ca,18,9
4453,pajas@optonline.net,12,5
6122,dpitts@hotmail.com,0,6
1888,portele@gmail.com,8,0
5178,frederic@msn.com,17,0
4865,cyrus@gmail.com,7,1
8508,kohlis@att.net,1,15
9031,conteb@hotmail.com,16,10
6112,smcnabb@mac.com,10,2
1841,keijser@me.com,2,5
6620,mleary@sbcglobal.net,4,5
9856,nichoj@sbcglobal.net,18,6
6657,pajas@yahoo.com,18,10
9538,cparis@mac.com,10,7
5825,oneiros@icloud.com,8,0
8777,aibrahim@att.net,15,9
2923,ccohen@outlook.com,8,1
4762,sokol@verizon.net,18,14
9868,pfitza@yahoo.ca,15,9
9035,hahsler@outlook.com,1,6
7628,hermes@gmail.com,0,12
8029,dkeeler@yahoo.ca,8,2
8357,scotfl@gmail.com,1,10
1175,ahuillet@me.com,2,15
5183,mwilson@live.com,16,1
2802,leslie@mac.com,0,15
9020,ideguy@yahoo.ca,20,7
1152,timlinux@gmail.com,9,14
6497,doormat@me.com,1,2
1752,pappp@yahoo.ca,4,12
6765,nelson@msn.com,3,7
4999,cliffski@outlook.com,0,3
1798,mhouston@hotmail.com,4,2
9763,preneel@sbcglobal.net,3,12
9863,msroth@comcast.net,15,5
9802,mhouston@att.net,4,10
5701,birddog@comcast.net,5,3
1794,catalog@msn.com,11,6
7022,ilikered@icloud.com,5,13
1867,dvdotnet@outlook.com,0,7
1118,thrymm@msn.com,0,1
5299,boomzilla@outlook.com,6,3
2189,nasor@comcast.net,12,5
7245,nacho@outlook.com,3,14
9720,staffelb@sbcglobal.net,4,11
3096,boser@hotmail.com,19,7
7459,nwiger@msn.com,1,5
7028,jtorkbob@mac.com,18,15
8804,treit@optonline.net,15,3
8009,lstaf@yahoo.ca,16,8
6335,tlinden@yahoo.ca,20,14
7874,kingma@optonline.net,8,10
8252,wiseb@me.com,5,3
6640,xnormal@att.net,1,10
9411,suresh@sbcglobal.net,7,1
5141,msusa@verizon.net,13,2
7422,hellfire@verizon.net,1,15
2350,yumpy@mac.com,11,7
8132,jimxugle@outlook.com,0,14
9651,mbswan@yahoo.ca,6,0
6610,dowdy@mac.com,9,7
4779,wenzlaff@icloud.com,6,12
4755,isaacson@hotmail.com,14,4
3757,pajas@mac.com,20,4
5955,paina@outlook.com,12,8
7732,mcraigw@icloud.com,9,15
2165,johnbob@icloud.com,0,4
2240,muadip@yahoo.ca,0,6
9286,johndo@optonline.net,6,11
5280,bogjobber@mac.com,6,4
5717,maratb@gmail.com,5,0
6042,sumdumass@sbcglobal.net,14,1
1679,imightb@aol.com,4,15
5734,dieman@optonline.net,14,1
5100,fukuchi@gmail.com,20,9
3329,portscan@me.com,19,2
7932,sakusha@hotmail.com,18,6
6021,wildixon@icloud.com,6,10
4145,keutzer@msn.com,18,2
2034,warrior@aol.com,1,2
1057,jtorkbob@outlook.com,6,4
8193,gozer@att.net,20,4
5731,gtewari@aol.com,20,4
1552,caidaperl@msn.com,15,3
5167,stakasa@me.com,9,12
9742,gamma@outlook.com,8,6
9292,granboul@gmail.com,0,1
2533,oster@gmail.com,18,13
5853,improv@icloud.com,16,5
7313,storerm@comcast.net,16,15
9313,gslondon@me.com,15,0
1783,metzzo@comcast.net,12,5
2670,meder@att.net,15,15
9345,lstaf@optonline.net,14,0
7041,iamcal@verizon.net,16,3
7205,erynf@optonline.net,18,1
6857,helger@me.com,3,8
6901,scarolan@verizon.net,1,8
9509,ranasta@outlook.com,17,3
3932,fairbank@yahoo.com,17,15
9621,sblack@hotmail.com,4,4
9184,wagnerch@aol.com,20,3
8264,hikoza@yahoo.ca,11,11
3446,mallanmba@outlook.com,13,5
2682,onestab@yahoo.com,19,5
1103,dimensio@att.net,13,9
8898,sekiya@verizon.net,5,1
3370,bjoern@gmail.com,3,8
7608,sjmuir@optonline.net,0,15
5145,jemarch@icloud.com,19,6
8991,hoyer@att.net,0,15
5913,malattia@optonline.net,10,5
1434,aschmitz@yahoo.com,6,6
9715,speeves@comcast.net,3,7
3147,oevans@mac.com,14,4
2742,ateniese@yahoo.com,6,2
1226,codex@att.net,19,9
4563,froodian@outlook.com,4,9
5511,aardo@gmail.com,13,3
9600,rddesign@gmail.com,15,5
4108,josem@verizon.net,1,3
7469,marcs@hotmail.com,11,6
5747,dbanarse@hotmail.com,12,6
9770,mkearl@att.net,15,11
5063,wojciech@comcast.net,11,8
8328,skoch@msn.com,18,5
8196,hahsler@comcast.net,3,14
5315,stakasa@msn.com,17,6
4921,klaudon@yahoo.com,8,7
2958,jelmer@att.net,13,11
2937,citadel@msn.com,18,6
4927,hahiss@sbcglobal.net,0,5
1793,tubajon@mac.com,2,3
2193,thassine@optonline.net,1,8
4751,arathi@outlook.com,9,7
2734,parkes@yahoo.com,14,11
8588,eabrown@optonline.net,15,6
4398,lauronen@hotmail.com,1,8
1786,johnbob@hotmail.com,18,3
5374,ribet@yahoo.ca,3,10
5355,dhrakar@verizon.net,13,11
7939,scottlee@icloud.com,9,5
5371,leviathan@verizon.net,4,15
7219,leakin@gmail.com,16,11
8992,uqmcolyv@yahoo.com,13,7
7040,noneme@gmail.com,3,0
9539,isorashi@gmail.com,5,7
1430,jfriedl@yahoo.com,10,15
8342,debest@aol.com,13,2
7359,dpitts@sbcglobal.net,12,4
5522,sisyphus@gmail.com,1,15
1715,amaranth@mac.com,3,0
1523,trygstad@mac.com,14,14
4909,mfburgo@outlook.com,20,12
2206,techie@verizon.net,5,5
6714,pizza@sbcglobal.net,5,13
2328,wainwrig@optonline.net,5,1
6289,cantu@hotmail.com,4,10
6745,roesch@mac.com,18,12
7532,rmcfarla@me.com,3,0
8566,mailarc@outlook.com,3,8
6861,storerm@msn.com,20,6
6603,yangyan@icloud.com,0,9
6453,jandrese@live.com,13,8
2944,msherr@hotmail.com,16,10
3375,portele@optonline.net,16,1
1692,hyper@yahoo.com,14,15
7549,dougj@aol.com,20,2
4590,ccohen@me.com,2,12
1449,satishr@me.com,12,14
6483,sscorpio@hotmail.com,3,12
7255,bruck@live.com,14,4
1179,papathan@me.com,6,10
7642,mwilson@outlook.com,1,8
8175,ovprit@yahoo.ca,1,15
1930,jgmyers@icloud.com,11,7
4385,naoya@yahoo.com,13,1
9889,giafly@optonline.net,4,8
8115,amcuri@yahoo.com,20,8
9205,pedwards@msn.com,10,2
8798,fhirsch@live.com,15,3
8058,crusader@yahoo.com,18,2
3941,chrisj@aol.com,20,1
8938,jonadab@yahoo.ca,9,14
3115,jimmichie@sbcglobal.net,17,4
1479,philen@aol.com,15,3
6266,avalon@outlook.com,5,0
1784,rande@yahoo.ca,2,13
2399,karasik@outlook.com,19,12
2003,sopwith@verizon.net,4,8
2179,jonathan@yahoo.ca,0,1
1777,hedwig@sbcglobal.net,10,6
2377,fwitness@aol.com,5,7
